iter	Passed	Remaining
309	17970	97967
310	18025	97892
311	18087	97856
312	18146	97805
313	18202	97739
314	18260	97676
315	18317	97617
316	18373	97545
317	18384	97241
318	18442	97182
319	18500	97125
320	18560	97081
321	18619	97029
322	18676	96965
323	18732	96902
324	18787	96826
325	18846	96778
326	18901	96706
327	18959	96645
328	19015	96578
329	19074	96526
330	19132	96473
331	19190	96413
332	19250	96368
333	19313	96336
334	19368	96263
335	19424	96199
336	19483	96146
337	19549	96127
338	19608	96078
339	19668	96029
340	19732	95999
341	19800	95991
342	19861	95948
343	19924	95916
344	19987	95881
345	20048	95838
346	20111	95805
347	20176	95782
348	20236	95730
349	20299	95697
350	20361	95656
351	20420	95606
352	20487	95586
353	20549	95550
354	20609	95498
355	20667	95443
356	20724	95377
357	20779	95309
358	20834	95237
359	20890	95166
360	20950	95118
361	21004	95042
362	21059	94972
363	21118	94918
364	21173	94847
365	21232	94793
366	21291	94736
367	21346	94666
368	21406	94619
369	21469	94583
370	21525	94515
371	21585	94466
372	21642	94401
373	21699	94339
374	21755	94274
375	21811	94205
376	21870	94154
377	21926	94086
378	21984	94026
379	22038	93953
380	22097	93901
381	22158	93853
382	22218	93805
383	22276	93744
384	22335	93692
385	22387	93609
386	22443	93541
387	22504	93497
388	22561	93435
389	22620	93380
390	22678	93324
391	22734	93259
392	22789	93189
393	22848	93133
394	22905	93070
395	22961	93004
396	23020	92950
397	23079	92897
398	23134	92827
399	23190	92762
400	23244	92689
401	23300	92624
402	23357	92561
403	23417	92511
404	23482	92478
405	23536	92407
406	23597	92359
407	23653	92294
408	23708	92225
409	23766	92166
410	23820	92095
411	23876	92029
412	23938	91985
413	23993	91916
414	24049	91851
415	24112	91811
416	24165	91737
417	24222	91675
418	24277	91606
419	24334	91543
420	24392	91487
421	24448	91421
422	24506	91362
423	24560	91291
424	24621	91243
425	24678	91183
426	24732	91109
427	24788	91047
428	24848	90996
429	24905	90934
430	24958	90859
431	25015	90795
432	25074	90741
433	25132	90684
434	25187	90615
435	25241	90545
436	25296	90477
437	25357	90428
438	25411	90359
439	25468	90295
440	25526	90239
441	25591	90206
442	25648	90144
443	25703	90079
444	25758	90010
445	25814	89945
446	25872	89889
447	25931	89835
448	25986	89766
449	26043	89704
450	26103	89655
451	26161	89596
452	26218	89536
453	26275	89475
454	26330	89408
455	26386	89342
456	26446	89292
457	26499	89220
458	26555	89154
459	26616	89106
460	26671	89039
461	26728	88978
462	26784	88914
463	26843	88859
464	26899	88798
465	26956	88736
466	27011	88669
467	27067	88605
468	27126	88551
469	27183	88491
470	27240	88431
471	27296	88365
472	27351	88300
473	27412	88252
474	27469	88190
475	27525	88129
476	27585	88078
477	27647	88031
478	27703	87967
479	27759	87903
480	27820	87856
481	27878	87800
482	27934	87736
483	27991	87675
484	28046	87610
485	28105	87555
486	28168	87511
487	28222	87442
488	28276	87373
489	28336	87321
490	28396	87271
491	28456	87220
492	28510	87150
493	28564	87082
494	28625	87032
495	28680	86967
496	28737	86907
497	28795	86848
498	28851	86784
499	28906	86720
500	28963	86658
501	29018	86593
502	29076	86535
503	29137	86486
504	29192	86421
505	29248	86356
506	29304	86295
507	29363	86240
508	29421	86183
509	29480	86127
510	29536	86065
511	29594	86008
512	29656	85963
513	29716	85912
514	29775	85856
515	29833	85799
516	29890	85741
517	29947	85680
518	30006	85625
519	30064	85568
520	30125	85518
521	30179	85450
522	30234	85386
523	30290	85323
524	30346	85259
525	30402	85196
526	30460	85138
527	30516	85076
528	30571	85011
529	30634	84966
530	30690	84903
531	30743	84832
532	30797	84765
533	30854	84704
534	30910	84642
535	30966	84579
536	31025	84525
537	31080	84461
538	31138	84403
539	31195	84343
540	31251	84281
541	31308	84222
542	31365	84159
543	31420	84097
544	31480	84045
545	31533	83975
546	31588	83910
547	31648	83856
548	31703	83790
549	31765	83746
550	31824	83691
551	31880	83629
552	31938	83571
553	31993	83506
554	32049	83444
555	32107	83386
556	32168	83338
557	32223	83273
558	32279	83211
559	32335	83148
560	32391	83087
561	32447	83023
562	32503	82962
563	32561	82905
564	32618	82844
565	32678	82794
566	32734	82730
567	32795	82680
568	32850	82616
569	32906	82555
570	32962	82493
571	33017	82427
572	33073	82366
573	33131	82309
574	33191	82257
575	33246	82193
576	33303	82133
577	33358	82067
578	33414	82007
579	33470	81944
580	33528	81888
581	33587	81833
582	33642	81769
583	33706	81726
584	33765	81671
585	33820	81606
586	33884	81565
587	33941	81504
588	33999	81448
589	34056	81389
590	34113	81329
591	34171	81271
592	34226	81209
593	34280	81141
594	34333	81073
595	34395	81025
596	34452	80965
597	34506	80900
598	34562	80838
599	34622	80785
600	34681	80730
601	34738	80670
602	34792	80605
603	34848	80544
604	34906	80485
605	34966	80434
606	35021	80370
607	35077	80309
608	35133	80248
609	35193	80196
610	35254	80145
611	35312	80086
612	35367	80024
613	35424	79963
614	35481	79905
615	35541	79852
616	35599	79795
617	35652	79727
618	35713	79677
619	35770	79618
620	35827	79558
621	35880	79491
622	35940	79438
623	36000	79385
624	36059	79329
625	36115	79269
626	36171	79207
627	36231	79154
628	36288	79095
629	36344	79034
630	36403	78980
631	36460	78920
632	36516	78860
633	36570	78794
634	36629	78739
635	36688	78684
636	36747	78629
637	36806	78574
638	36864	78516
639	36924	78464
640	36980	78403
641	37040	78350
642	37098	78294
643	37153	78230
644	37214	78178
645	37268	78114
646	37324	78053
647	37380	77990
648	37439	77936
649	37495	77876
650	37551	77814
651	37607	77752
652	37664	77693
653	37722	77636
654	37778	77575
655	37834	77514
656	37891	77454
657	37945	77389
658	38003	77333
659	38066	77287
660	38121	77223
661	38176	77160
662	38235	77105
663	38293	77047
664	38351	76991
665	38409	76934
666	38466	76876
667	38522	76813
668	38580	76757
669	38637	76697
670	38697	76646
671	38763	76603
672	38823	76550
673	38882	76495
674	38941	76440
675	39001	76388
676	39058	76329
677	39126	76291
678	39190	76244
679	39254	76200
680	39320	76157
681	39382	76108
682	39446	76062
683	39506	76009
684	39570	75963
685	39633	75916
686	39694	75864
687	39761	75824
688	39831	75789
689	39888	75730
690	39955	75689
691	40016	75638
692	40071	75575
693	40133	75524
694	40189	75464
695	40249	75409
696	40308	75355
697	40370	75303
698	40426	75242
699	40480	75178
700	40538	75120
701	40596	75063
702	40652	75001
703	40711	74945
704	40768	74886
705	40825	74827
706	40882	74767
707	40937	74704
708	40992	74642
709	41048	74580
710	41104	74520
711	41162	74463
712	41216	74397
713	41279	74349
714	41332	74283
715	41386	74219
716	41444	74160
717	41499	74097
718	41557	74040
719	41609	73972
720	41662	73905
721	41720	73849
722	41781	73796
723	41838	73738
724	41894	73675
725	41948	73612
726	42004	73551
727	42059	73487
728	42113	73424
729	42170	73364
730	42236	73321
731	42296	73267
732	42353	73209
733	42411	73151
734	42467	73091
735	42523	73028
736	42581	72972
737	42637	72911
738	42692	72849
739	42754	72797
740	42814	72744
741	42868	72679
742	42924	72618
743	42982	72561
744	43037	72500
745	43093	72438
746	43148	72376
747	43203	72314
748	43265	72262
749	43319	72199
750	43375	72137
751	43432	72078
752	43488	72019
753	43542	71955
754	43599	71895
755	43655	71834
756	43712	71776
757	43772	71722
758	43829	71663
759	43886	71604
760	43942	71544
761	44001	71488
762	44018	71364
763	44074	71304
764	44136	71252
765	44190	71190
766	44248	71131
767	44312	71085
768	44370	71027
769	44426	70966
770	44480	70903
771	44537	70844
772	44593	70784
773	44648	70721
774	44704	70662
775	44762	70604
776	44824	70553
777	44881	70495
778	44939	70437
779	44956	70316
780	45011	70255
781	45067	70194
782	45124	70135
783	45180	70075
784	45236	70015
785	45296	69962
786	45355	69905
787	45410	69844
788	45465	69782
789	45523	69725
790	45579	69665
791	45634	69604
792	45692	69546
793	45751	69491
794	45811	69437
795	45869	69380
796	45931	69329
797	45989	69272
798	46044	69210
799	46100	69150
800	46157	69092
801	46212	69030
802	46269	68971
803	46328	68916
804	46360	68821
805	46419	68764
806	46476	68707
807	46532	68646
808	46588	68587
809	46641	68522
810	46698	68463
811	46753	68402
812	46813	68348
813	46870	68290
814	46925	68229
815	46986	68176
816	47041	68114
817	47096	68054
818	47152	67993
819	47207	67932
820	47265	67875
821	47325	67821
822	47382	67764
823	47440	67707
824	47497	67647
825	47555	67590
826	47611	67530
827	47665	67469
828	47724	67412
829	47779	67352
830	47838	67296
831	47898	67241
832	47952	67179
833	48007	67118
834	48063	67057
835	48119	66998
836	48175	66939
837	48231	66878
838	48285	66816
839	48348	66767
840	48404	66707
841	48464	66652
842	48527	66602
843	48545	66491
844	48601	66431
845	48662	66378
846	48716	66316
847	48773	66258
848	48832	66202
849	48889	66143
850	48947	66087
851	49004	66028
852	49061	65971
853	49118	65913
854	49174	65854
855	49231	65795
856	49288	65737
857	49347	65680
858	49377	65587
859	49432	65526
860	49487	65465
861	49548	65413
862	49607	65357
863	49662	65296
864	49715	65233
865	49772	65175
866	49834	65123
867	49888	65061
868	49944	65002
869	50001	64943
870	50061	64889
871	50117	64830
872	50171	64768
873	50228	64711
874	50283	64650
875	50340	64592
876	50395	64531
877	50453	64474
878	50511	64418
879	50571	64363
880	50627	64304
881	50683	64245
882	50739	64185
883	50797	64129
884	50854	64070
885	50910	64012
886	50963	63949
887	51022	63893
888	51079	63834
889	51135	63775
890	51190	63715
891	51249	63659
892	51305	63600
893	51367	63548
894	51422	63488
895	51478	63428
896	51533	63368
897	51589	63309
898	51646	63251
899	51703	63193
900	51760	63135
901	51824	63085
902	51880	63026
903	51942	62974
904	52000	62917
905	52055	62857
906	52112	62799
907	52169	62741
908	52225	62681
909	52282	62623
910	52343	62571
911	52399	62511
912	52455	62452
913	52509	62391
914	52565	62332
915	52629	62281
916	52685	62222
917	52741	62163
918	52796	62103
919	52853	62045
920	52909	61986
921	52969	61931
922	53023	61869
923	53079	61810
924	53134	61751
925	53188	61690
926	53243	61629
927	53297	61567
928	53359	61515
929	53415	61456
930	53470	61396
931	53526	61336
932	53582	61278
933	53639	61220
934	53694	61160
935	53749	61099
936	53809	61044
937	53867	60989
938	53921	60927
939	53976	60866
940	54033	60808
941	54087	60748
942	54143	60689
943	54200	60631
944	54254	60569
945	54312	60512
946	54374	60460
947	54429	60400
948	54482	60338
949	54540	60281
950	54596	60222
951	54657	60169
952	54720	60117
953	54779	60062
954	54833	60000
955	54892	59945
956	54954	59892
957	55006	59829
958	55061	59769
959	55116	59709
960	55170	59648
961	55227	59590
962	55282	59531
963	55337	59470
964	55396	59414
965	55453	59356
966	55506	59294
967	55565	59239
968	55621	59179
969	55674	59118
970	55731	59060
971	55787	59001
972	55844	58943
973	55902	58886
974	55960	58830
975	56013	58768
976	56068	58708
977	56123	58648
978	56177	58587
979	56235	58530
980	56289	58470
981	56347	58412
982	56407	58358
983	56461	58297
984	56516	58238
985	56572	58178
986	56631	58123
987	56690	58067
988	56758	58021
989	56827	57975
990	56897	57931
991	56957	57875
992	57023	57827
993	57094	57783
994	57164	57738
995	57231	57691
996	57297	57642
997	57362	57592
998	57430	57545
999	57494	57494
1000	57558	57443
1001	57621	57391
1002	57684	57339
1003	57746	57286
1004	57806	57231
1005	57876	57186
1006	57943	57137
1007	58011	57090
1008	58070	57034
1009	58133	56982
1010	58200	56934
1011	58265	56883
1012	58336	56839
1013	58411	56798
1014	58478	56749
1015	58543	56699
1016	58608	56648
1017	58668	56594
1018	58738	56547
1019	58803	56497
1020	58875	56454
1021	58944	56407
1022	59005	56352
1023	59062	56294
1024	59122	56238
1025	59185	56185
1026	59249	56134
1027	59311	56080
1028	59372	56026
1029	59433	55971
1030	59493	55916
1031	59559	55865
1032	59619	55810
1033	59679	55754
1034	59740	55700
1035	59800	55644
1036	59861	55589
1037	59923	55535
1038	59982	55479
1039	60043	55424
1040	60113	55378
1041	60178	55327
1042	60245	55278
1043	60312	55228
1044	60369	55170
1045	60437	55121
1046	60494	55063
1047	60550	55004
1048	60614	54951
1049	60674	54895
1050	60735	54840
1051	60798	54787
1052	60857	54730
1053	60922	54680
1054	60983	54625
1055	61042	54568
1056	61101	54511
1057	61165	54459
1058	61223	54401
1059	61286	54348
1060	61341	54288
1061	61408	54238
1062	61468	54182
1063	61528	54126
1064	61587	54070
1065	61645	54012
1066	61703	53954
1067	61761	53896
1068	61818	53838
1069	61877	53781
1070	61941	53728
1071	62004	53675
1072	62061	53616
1073	62121	53560
1074	62181	53505
1075	62240	53448
1076	62297	53389
1077	62352	53329
1078	62415	53275
1079	62474	53218
1080	62534	53163
1081	62593	53106
1082	62652	53049
1083	62708	52989
1084	62765	52931
1085	62824	52874
1086	62881	52815
1087	62943	52761
1088	63004	52705
1089	63064	52650
1090	63122	52592
1091	63184	52537
1092	63242	52480
1093	63302	52423
1094	63360	52366
1095	63421	52311
1096	63479	52253
1097	63538	52196
1098	63595	52138
1099	63654	52081
1100	63714	52025
1101	63775	51969
1102	63833	51911
1103	63894	51856
1104	63956	51801
1105	64014	51744
1106	64072	51686
1107	64128	51627
1108	64186	51569
1109	64247	51513
1110	64305	51456
1111	64361	51396
1112	64420	51339
1113	64480	51283
1114	64540	51227
1115	64599	51170
1116	64659	51113
1117	64718	51056
1118	64776	50998
1119	64832	50940
1120	64898	50887
1121	64961	50834
1122	65021	50778
1123	65078	50719
1124	65137	50662
1125	65198	50606
1126	65255	50548
1127	65319	50495
1128	65379	50438
1129	65443	50385
1130	65499	50326
1131	65555	50267
1132	65612	50208
1133	65671	50151
1134	65732	50095
1135	65790	50037
1136	65851	49982
1137	65910	49925
1138	65971	49869
1139	66033	49814
1140	66092	49757
1141	66152	49701
1142	66211	49644
1143	66274	49590
1144	66336	49535
1145	66396	49478
1146	66464	49428
1147	66526	49373
1148	66589	49319
1149	66646	49260
1150	66705	49203
1151	66764	49146
1152	66825	49090
1153	66884	49033
1154	66950	48981
1155	67009	48923
1156	67066	48865
1157	67125	48808
1158	67187	48753
1159	67248	48697
1160	67308	48640
1161	67366	48582
1162	67426	48526
1163	67491	48472
1164	67548	48414
1165	67610	48359
1166	67670	48302
1167	67730	48246
1168	67786	48186
1169	67845	48129
1170	67902	48070
1171	67965	48016
1172	68027	47961
1173	68089	47906
1174	68146	47847
1175	68205	47790
1176	68265	47733
1177	68324	47676
1178	68384	47619
1179	68445	47563
1180	68511	47511
1181	68568	47452
1182	68627	47395
1183	68688	47339
1184	68746	47281
1185	68809	47226
1186	68870	47170
1187	68902	47094
1188	68965	47040
1189	69025	46983
1190	69086	46927
1191	69104	46842
1192	69162	46784
1193	69227	46731
1194	69290	46677
1195	69350	46620
1196	69409	46563
1197	69471	46507
1198	69534	46453
1199	69595	46396
1200	69652	46338
1201	69713	46282
1202	69772	46224
1203	69831	46167
1204	69891	46111
1205	69950	46053
1206	70015	46000
1207	70071	45941
1208	70130	45883
1209	70188	45825
1210	70248	45769
1211	70306	45710
1212	70363	45651
1213	70419	45592
1214	70481	45537
1215	70541	45480
1216	70601	45424
1217	70657	45364
1218	70716	45307
1219	70780	45253
1220	70841	45196
1221	70900	45139
1222	70963	45084
1223	71020	45026
1224	71081	44970
1225	71137	44910
1226	71194	44852
1227	71252	44793
1228	71315	44738
1229	71372	44680
1230	71433	44624
1231	71501	44572
1232	71559	44514
1233	71619	44457
1234	71677	44399
1235	71742	44345
1236	71802	44288
1237	71860	44230
1238	71920	44174
1239	71981	44117
1240	72042	44061
1241	72107	44007
1242	72166	43950
1243	72225	43892
1244	72283	43834
1245	72343	43777
1246	72403	43720
1247	72465	43665
1248	72526	43609
1249	72585	43551
1250	72645	43494
1251	72707	43438
1252	72766	43381
1253	72827	43324
1254	72891	43270
1255	72949	43211
1256	73011	43156
1257	73070	43098
1258	73129	43041
1259	73189	42984
1260	73247	42926
1261	73305	42868
1262	73362	42809
1263	73426	42754
1264	73459	42681
1265	73524	42628
1266	73581	42569
1267	73641	42512
1268	73703	42456
1269	73763	42399
1270	73821	42341
1271	73881	42284
1272	73939	42226
1273	74003	42171
1274	74061	42113
1275	74120	42055
1276	74179	41998
1277	74238	41940
1278	74299	41884
1279	74357	41826
1280	74413	41766
1281	74469	41707
1282	74534	41653
1283	74590	41594
1284	74647	41535
1285	74710	41480
1286	74728	41399
1287	74786	41341
1288	74843	41282
1289	74903	41226
1290	74934	41153
1291	74999	41098
1292	75018	41019
1293	75079	40962
1294	75097	40883
1295	75155	40825
1296	75217	40769
1297	75275	40711
1298	75335	40654
1299	75392	40595
1300	75451	40538
1301	75522	40487
1302	75581	40430
1303	75641	40372
1304	75699	40314
1305	75762	40259
1306	75818	40200
1307	75878	40143
1308	75896	40064
1309	75954	40006
1310	76019	39952
1311	76077	39894
1312	76137	39837
1313	76201	39782
1314	76264	39727
1315	76324	39670
1316	76388	39615
1317	76450	39559
1318	76519	39507
1319	76577	39448
1320	76635	39390
1321	76692	39332
1322	76755	39276
1323	76813	39219
1324	76872	39161
1325	76931	39104
1326	76989	39045
1327	77051	38989
1328	77111	38932
1329	77170	38875
1330	77230	38818
1331	77289	38761
1332	77346	38702
1333	77407	38645
1334	77471	38590
1335	77537	38536
1336	77597	38479
1337	77655	38421
1338	77716	38364
1339	77774	38306
1340	77835	38250
1341	77895	38193
1342	77958	38137
1343	78021	38081
1344	78077	38022
1345	78137	37965
1346	78197	37908
1347	78256	37850
1348	78313	37792
1349	78378	37737
1350	78438	37680
1351	78495	37622
1352	78560	37567
1353	78618	37509
1354	78674	37450
1355	78733	37392
1356	78793	37335
1357	78854	37278
1358	78912	37220
1359	78970	37162
1360	79030	37105
1361	79087	37047
1362	79151	36991
1363	79207	36932
1364	79266	36874
1365	79322	36815
1366	79386	36760
1367	79443	36702
1368	79510	36648
1369	79569	36590
1370	79632	36534
1371	79698	36480
1372	79756	36422
1373	79818	36365
1374	79873	36306
1375	79930	36247
1376	79986	36188
1377	80048	36132
1378	80108	36075
1379	80166	36016
1380	80227	35960
1381	80286	35902
1382	80344	35844
1383	80403	35786
1384	80460	35727
1385	80519	35670
1386	80579	35612
1387	80637	35554
1388	80694	35496
1389	80755	35439
1390	80812	35380
1391	80871	35322
1392	80931	35265
1393	80990	35208
1394	81054	35152
1395	81113	35094
1396	81172	35037
1397	81231	34979
1398	81294	34923
1399	81353	34865
1400	81411	34807
1401	81475	34751
1402	81539	34696
1403	81599	34638
1404	81659	34581
1405	81721	34525
1406	81782	34468
1407	81845	34412
1408	81902	34353
1409	81959	34295
1410	82022	34239
1411	82082	34181
1412	82139	34123
1413	82198	34065
1414	82257	34007
1415	82315	33949
1416	82373	33890
1417	82433	33833
1418	82492	33776
1419	82558	33721
1420	82616	33662
1421	82674	33604
1422	82735	33547
1423	82793	33489
1424	82854	33432
1425	82912	33374
1426	82972	33317
1427	83036	33261
1428	83096	33203
1429	83156	33146
1430	83212	33087
1431	83272	33030
1432	83333	32972
1433	83393	32915
1434	83453	32858
1435	83517	32802
1436	83576	32744
1437	83635	32686
1438	83694	32628
1439	83750	32569
1440	83816	32514
1441	83875	32456
1442	83934	32398
1443	83994	32341
1444	84057	32284
1445	84115	32226
1446	84174	32168
1447	84232	32110
1448	84292	32053
1449	84351	31995
1450	84410	31937
1451	84467	31879
1452	84529	31822
1453	84589	31764
1454	84648	31706
1455	84706	31648
1456	84765	31590
1457	84824	31532
1458	84885	31475
1459	84943	31417
1460	85003	31360
1461	85063	31302
1462	85122	31244
1463	85182	31186
1464	85245	31130
1465	85300	31071
1466	85361	31014
1467	85420	30956
1468	85478	30897
1469	85538	30840
1470	85598	30782
1471	85658	30725
1472	85715	30666
1473	85774	30608
1474	85832	30550
1475	85895	30494
1476	85956	30436
1477	86014	30378
1478	86076	30321
1479	86135	30263
1480	86192	30205
1481	86251	30147
1482	86310	30089
1483	86367	30030
1484	86427	29973
1485	86490	29916
1486	86553	29860
1487	86615	29803
1488	86646	29735
1489	86706	29678
1490	86768	29621
1491	86823	29561
1492	86881	29503
1493	86940	29445
1494	86998	29387
1495	87065	29332
1496	87120	29272
1497	87179	29214
1498	87238	29157
1499	87297	29099
1500	87328	29032
1501	87360	28965
1502	87419	28907
1503	87477	28848
1504	87541	28792
1505	87600	28734
1506	87660	28677
1507	87718	28619
1508	87778	28561
1509	87812	28495
1510	87870	28437
1511	87933	28380
1512	87993	28323
1513	88060	28267
1514	88122	28210
1515	88181	28152
1516	88240	28095
1517	88299	28037
1518	88354	27977
1519	88412	27919
1520	88470	27861
1521	88526	27802
1522	88590	27746
1523	88651	27688
1524	88714	27632
1525	88778	27575
1526	88838	27518
1527	88899	27461
1528	88959	27403
1529	89016	27345
1530	89080	27288
1531	89142	27231
1532	89206	27175
1533	89266	27117
1534	89324	27059
1535	89382	27001
1536	89437	26941
1537	89500	26885
1538	89562	26827
1539	89619	26769
1540	89679	26711
1541	89736	26653
1542	89796	26595
1543	89853	26537
1544	89911	26478
1545	89970	26420
1546	90030	26363
1547	90094	26306
1548	90160	26250
1549	90225	26194
1550	90290	26138
1551	90353	26081
1552	90421	26025
1553	90485	25969
1554	90565	25917
1555	90641	25864
1556	90706	25808
1557	90771	25751
1558	90832	25694
1559	90893	25636
1560	90958	25580
1561	91019	25522
1562	91088	25467
1563	91151	25410
1564	91217	25354
1565	91281	25297
1566	91347	25241
1567	91415	25185
1568	91488	25131
1569	91550	25074
1570	91617	25018
1571	91680	24961
1572	91743	24904
1573	91806	24847
1574	91871	24790
1575	91931	24732
1576	91991	24674
1577	92052	24617
1578	92119	24561
1579	92180	24503
1580	92240	24445
1581	92297	24386
1582	92353	24328
1583	92407	24268
1584	92465	24210
1585	92518	24150
1586	92574	24091
1587	92631	24032
1588	92690	23974
1589	92741	23914
1590	92795	23855
1591	92849	23795
1592	92904	23736
1593	92960	23677
1594	93017	23618
1595	93071	23559
1596	93130	23501
1597	93180	23440
1598	93233	23381
1599	93290	23322
1600	93342	23262
1601	93395	23203
1602	93447	23143
1603	93503	23084
1604	93561	23026
1605	93618	22967
1606	93672	22908
1607	93726	22848
1608	93780	22789
1609	93839	22731
1610	93893	22671
1611	93946	22612
1612	94006	22554
1613	94058	22494
1614	94121	22437
1615	94174	22378
1616	94239	22321
1617	94300	22263
1618	94366	22207
1619	94425	22149
1620	94483	22090
1621	94546	22033
1622	94608	21976
1623	94664	21917
1624	94718	21858
1625	94774	21799
1626	94832	21740
1627	94888	21682
1628	94944	21623
1629	94997	21563
1630	95054	21505
1631	95114	21447
1632	95184	21391
1633	95245	21333
1634	95300	21274
1635	95357	21216
1636	95417	21158
1637	95477	21100
1638	95538	21042
1639	95591	20983
1640	95650	20925
1641	95706	20866
1642	95761	20807
1643	95817	20748
1644	95872	20689
1645	95927	20630
1646	95981	20571
1647	96038	20513
1648	96091	20453
1649	96149	20395
1650	96202	20335
1651	96266	20278
1652	96331	20222
1653	96391	20164
1654	96449	20105
1655	96510	20048
1656	96568	19989
1657	96628	19931
1658	96685	19873
1659	96740	19814
1660	96793	19755
1661	96847	19695
1662	96901	19636
1663	96959	19578
1664	97014	19519
